Product Name,Component Type,Minimum Version,Last Update,SoftPaq #,SoftPaq Link
HP EliteOne 800 G4 23.8-inch Touch GPU All-in-One PC,BIOS,02.18.00,Rev 1,SP137015,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137015.exe
HP EliteOne 800 G5 23.8-in Healthcare Edition All-in-One,BIOS,2.11.01,Rev 1,SP136705,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136705.exe
HP EliteOne 800 G5 23.8-inch All-in-One,BIOS,2.11.01,Rev 1,SP136705,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136705.exe
HP ProDesk 400 G3 Desktop Mini PC,BIOS,2.4,Rev 1,SP139783,Pending
HP ProDesk 400 G4 Desktop Mini PC,BIOS,02.18.00,Rev 1,SP136964,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136964.exe
HP ProDesk 400 G4 Microtower PC,BIOS,2.4,Rev 1,SP139854,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139854.exe
HP ProDesk 400 G4 Small Form Factor PC,BIOS,2.4,Rev 1,SP139796,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139796.exe
HP ProDesk 400 G5 Desktop Mini PC,BIOS,02.11.00,Rev 1,SP136574,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136574.exe
HP ProDesk 400 G5 Microtower PC,BIOS,02.17.00,Rev 1,SP136497,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136497.exe
HP ProDesk 400 G5 Small Form Factor PC,BIOS,2.17,Rev 1,SP136532,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136532.exe
HP ProDesk 400 G6 Microtower PC,BIOS,02.11.00,Rev 1,SP136501,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136501.exe
HP ProDesk 400 G6 Small Form Factor PC,BIOS,02.11.00,Rev 1,SP136515,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136515.exe
HP ProDesk 405 G4 Desktop Mini PC,BIOS,02.17.00,Rev 1,SP136824,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136824.exe
HP ProDesk 405 G4 Small Form Factor PC,BIOS,02.12.00,Rev 1,SP137069,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137069.exe
HP ProDesk 480 G4 Microtower PC,BIOS,2.4,Rev 1,SP139854,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139854.exe
HP ProDesk 480 G5 Microtower PC,BIOS,02.17.00,Rev 1,SP136497,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136497.exe
HP ProDesk 480 G6 Microtower PC,BIOS,02.11.00,Rev 1,SP136501,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136501.exe
HP ProDesk 600 G3 Desktop Mini PC,BIOS,2.4,Rev 1,SP139782,Pending
HP ProDesk 600 G3 Microtower PC,BIOS,2.4,Rev 1,SP139853,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139853.exe
HP ProDesk 600 G3 Small Form Factor PC,BIOS,2.4,Rev 1,SP139795,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139795.exe
